,,Open,High,Low,Close,,,https://www.exness.com/intl/th/history_quotes/,,,,,GMT
2016.05.20,0:00,1.12013,1.1237,1.11956,1.12208,0,,,,,,,
2016.05.22,0:00,1.12078,1.12224,1.12072,1.12195,0,,,,,,,
2016.05.23,0:00,1.12198,1.12423,1.11868,1.12125,0,,,,,,,
2016.05.24,0:00,1.12133,1.12265,1.11321,1.11348,0,,,,,,,
2016.05.25,0:00,1.11354,1.11665,1.11282,1.11543,0,,,,,,,
2016.05.26,0:00,1.11548,1.12163,1.11535,1.11909,0,,,,,,,
2016.05.27,0:00,1.11927,1.12003,1.11088,1.11088,0,,,,,,,
2016.05.29,0:00,1.11127,1.11149,1.11061,1.11078,0,,,,,,,
2016.05.30,0:00,1.11073,1.1149,1.10974,1.11472,0,,,,,,,
2016.05.31,0:00,1.11477,1.1173,1.11216,1.11335,0,,,,,,,
2016.06.01,0:00,1.11338,1.11935,1.11136,1.11871,0,,,,,,,
2016.06.02,0:00,1.11887,1.12194,1.11441,1.11511,0,,,,,,,
2016.06.03,0:00,1.11502,1.13731,1.11363,1.13634,0,,,,,,,
2016.06.05,0:00,1.13579,1.13713,1.13443,1.13508,0,,,,,,,
2016.06.06,0:00,1.135,1.13919,1.13254,1.13622,0,,,,,,,
2016.06.07,0:00,1.13625,1.13799,1.13381,1.13553,0,,,,,,,
2016.06.08,0:00,1.13555,1.14102,1.1354,1.14018,0,,,,,,,
2016.06.09,0:00,1.14028,1.14149,1.13051,1.13091,0,,,,,,,
2016.06.10,0:00,1.13094,1.13208,1.12449,1.12475,0,,,,,,,
2016.06.12,0:00,1.12489,1.12524,1.12335,1.12377,0,,,,,,,
2016.06.13,0:00,1.12388,1.13024,1.12316,1.1287,0,,,,,,,
2016.06.14,0:00,1.12866,1.12978,1.11883,1.12098,0,,,,,,,
2016.06.15,0:00,1.12097,1.1297,1.11892,1.12607,0,,,,,,,
2016.06.16,0:00,1.12606,1.12944,1.11304,1.12692,0,,,,,,,
2016.06.17,0:00,1.12681,1.12957,1.12221,1.12746,0,,,,,,,
2016.06.19,0:00,1.13057,1.13574,1.13057,1.13466,0,,,,,,,
2016.06.20,0:00,1.1348,1.13818,1.13017,1.13213,0,,,,,,,
2016.06.21,0:00,1.13216,1.13491,1.12378,1.12491,0,,,,,,,
2016.06.22,0:00,1.12483,1.13469,1.1236,1.13252,0,,,,,,,
2016.06.23,0:00,1.13259,1.14274,1.12672,1.1332,0,,,,,,,
2016.06.24,0:00,1.13294,1.13365,1.09112,1.10909,0,,,,,,,
2016.06.26,0:00,1.10497,1.1074,1.10117,1.10386,0,,,,,,,
2016.06.27,0:00,1.10406,1.10831,1.09703,1.10131,0,,,,,,,
2016.06.28,0:00,1.10146,1.1111,1.10124,1.10748,0,,,,,,,
2016.06.29,0:00,1.10754,1.113,1.10487,1.11217,0,,,,,,,
2016.06.30,0:00,1.11215,1.11539,1.10236,1.1102,0,,,,,,,
2016.07.01,0:00,1.11034,1.11688,1.10716,1.11325,0,,,,,,,
2016.07.03,0:00,1.11316,1.11367,1.11226,1.11268,0,,,,,,,
2016.07.04,0:00,1.11274,1.11591,1.10974,1.11439,0,,,,,,,
2016.07.05,0:00,1.11438,1.11856,1.10577,1.10631,0,,,,,,,
2016.07.06,0:00,1.10638,1.11111,1.10283,1.10964,0,,,,,,,
2016.07.07,0:00,1.10946,1.11066,1.1052,1.10632,0,,,,,,,
2016.07.08,0:00,1.10631,1.112,1.10015,1.10488,0,,,,,,,
2016.07.10,0:00,1.10498,1.10526,1.10413,1.10437,0,,,,,,,
2016.07.11,0:00,1.10427,1.10741,1.10151,1.10563,0,,,,,,,
2016.07.12,0:00,1.10567,1.11253,1.10515,1.10595,0,,,,,,,
2016.07.13,0:00,1.10584,1.11193,1.10413,1.10942,0,,,,,,,
2016.07.14,0:00,1.10942,1.11643,1.10878,1.11056,0,,,,,,,
2016.07.15,0:00,1.11059,1.11465,1.10241,1.10296,0,,,,,,,
2016.07.17,0:00,1.10502,1.10592,1.10441,1.10549,0,,,,,,,
2016.07.18,0:00,1.10555,1.10835,1.1037,1.10667,0,,,,,,,
2016.07.19,0:00,1.10672,1.10794,1.09994,1.10129,0,,,,,,,
2016.07.20,0:00,1.10128,1.10295,1.0981,1.10157,0,,,,,,,
2016.07.21,0:00,1.10156,1.10593,1.09792,1.10312,0,,,,,,,
2016.07.22,0:00,1.1031,1.10405,1.0955,1.09738,0,,,,,,,
2016.07.24,0:00,1.09724,1.09741,1.09622,1.0968,0,,,,,,,
2016.07.25,0:00,1.09679,1.09983,1.09513,1.09885,0,,,,,,,
2016.07.26,0:00,1.0988,1.10293,1.09777,1.09864,0,,,,,,,
2016.07.27,0:00,1.09865,1.10725,1.09608,1.10663,0,,,,,,,
2016.07.28,0:00,1.10694,1.11187,1.10586,1.10817,0,,,,,,,
2016.07.29,0:00,1.1082,1.11958,1.10717,1.11686,0,,,,,,,
2016.07.31,0:00,1.11722,1.11826,1.11652,1.11663,0,,,,,,,
2016.08.01,0:00,1.11664,1.11804,1.11546,1.11665,0,,,,,,,
2016.08.02,0:00,1.11672,1.1233,1.11616,1.12171,0,,,,,,,
2016.08.03,0:00,1.12168,1.12183,1.11403,1.11495,0,,,,,,,
2016.08.04,0:00,1.11491,1.11554,1.11132,1.11342,0,,,,,,,
2016.08.05,0:00,1.11338,1.11607,1.10455,1.10842,0,,,,,,,
2016.08.07,0:00,1.10779,1.10919,1.10779,1.10863,0,,,,,,,
2016.08.08,0:00,1.10864,1.11044,1.10715,1.10844,0,,,,,,,
2016.08.09,0:00,1.10853,1.11219,1.10699,1.11171,0,,,,,,,
2016.08.10,0:00,1.11174,1.11906,1.1117,1.11846,0,,,,,,,
2016.08.11,0:00,1.11849,1.11896,1.11347,1.11378,0,,,,,,,
2016.08.12,0:00,1.11379,1.12207,1.11308,1.11595,0,,,,,,,
2016.08.14,0:00,1.1167,1.1168,1.11566,1.11636,0,,,,,,,
2016.08.15,0:00,1.11634,1.12028,1.11529,1.11814,0,,,,,,,
2016.08.16,0:00,1.11816,1.13219,1.11768,1.12755,0,,,,,,,
2016.08.17,0:00,1.12753,1.13153,1.124,1.12985,0,,,,,,,
2016.08.18,0:00,1.12975,1.13657,1.12947,1.13463,0,,,,,,,
2016.08.19,0:00,1.13458,1.13483,1.13037,1.13211,0,,,,,,,
2016.08.21,0:00,1.13081,1.13207,1.12939,1.12962,0,,,,,,,
2016.08.22,0:00,1.12966,1.133,1.12703,1.13168,0,,,,,,,
2016.08.23,0:00,1.13159,1.13543,1.1299,1.13011,0,,,,,,,
2016.08.24,0:00,1.13005,1.1311,1.12448,1.12605,0,,,,,,,
2016.08.25,0:00,1.12594,1.12969,1.12587,1.12861,0,,,,,,,
2016.08.26,0:00,1.12858,1.13401,1.118,1.11954,0,,,,,,,
2016.08.28,0:00,1.11829,1.12002,1.1178,1.11968,0,,,,,,,
